feature,correlation
total_acidity,0.04953388718107904
sulphates,0.04320835015146477
ph_acidity_balance,0.027970670317757268
total sulfur dioxide_log,0.025134495423801802
total sulfur dioxide,0.023739347469834773
alcohol,0.023041772994544605
alcohol_density_ratio,0.022916032180271755
chlorides,0.012937360399245859
volatile acidity,0.011284358253778187
density,0.010942284551198443
chlorides_log,0.010510508454117553
citric_over_total_acid,0.010484791039349853
citric acid,0.010468095345163214
alcohol_acid_interaction,0.009554780783159491
sulphate_citric_interaction,0.008884828287949297
FA_to_VA_ratio,0.0034125863214627497
residual sugar_log,0.0007014585984762389
